,Sex,AgeGroup,Year,State,DeathCount
122,Male,35-39,2001,Kelantan,173.0
123,Male,35-39,2001,Melaka,81.0
124,Male,35-39,2001,Negeri Sembilan,115.0
125,Male,35-39,2001,Pulau Pinang,131.0
126,Male,35-39,2001,Pahang,149.0
127,Male,35-39,2001,Perak,284.0
128,Male,35-39,2001,Perlis,31.0
129,Male,35-39,2001,Sabah,0.0
130,Male,35-39,2001,Sarawak,135.0
131,Male,35-39,2001,Selangor,380.0
132,Male,35-39,2001,Terengganu,133.0
133,Male,35-39,2001,W.P. Kuala Lumpur,133.0
134,Male,35-39,2001,W.P. Labuan,3.0
135,Male,40-44,2001,Johor,399.0
136,Male,40-44,2001,Kedah,208.0
137,Male,40-44,2001,Kelantan,157.0
138,Male,40-44,2001,Melaka,86.0
139,Male,40-44,2001,Negeri Sembilan,146.0
140,Male,40-44,2001,Pulau Pinang,164.0
141,Male,40-44,2001,Pahang,144.0
142,Male,40-44,2001,Perak,356.0
143,Male,40-44,2001,Perlis,34.0
144,Male,40-44,2001,Sabah,0.0
145,Male,40-44,2001,Sarawak,204.0
146,Male,40-44,2001,Selangor,446.0
147,Male,40-44,2001,Terengganu,108.0
148,Male,40-44,2001,W.P. Kuala Lumpur,207.0
149,Male,40-44,2001,W.P. Labuan,3.0
150,Male,45-49,2001,Johor,396.0
151,Male,45-49,2001,Kedah,223.0
152,Male,45-49,2001,Kelantan,162.0
153,Male,45-49,2001,Melaka,98.0
154,Male,45-49,2001,Negeri Sembilan,177.0
155,Male,45-49,2001,Pulau Pinang,224.0
156,Male,45-49,2001,Pahang,195.0
157,Male,45-49,2001,Perak,400.0
158,Male,45-49,2001,Perlis,31.0
159,Male,45-49,2001,Sabah,0.0
160,Male,45-49,2001,Sarawak,219.0
161,Male,45-49,2001,Selangor,517.0
162,Male,45-49,2001,Terengganu,116.0
163,Male,45-49,2001,W.P. Kuala Lumpur,235.0
164,Male,45-49,2001,W.P. Labuan,7.0
165,Male,50-54,2001,Johor,516.0
166,Male,50-54,2001,Kedah,329.0
167,Male,50-54,2001,Kelantan,243.0
168,Male,50-54,2001,Melaka,121.0
169,Male,50-54,2001,Negeri Sembilan,191.0
170,Male,50-54,2001,Pulau Pinang,285.0
171,Male,50-54,2001,Pahang,226.0
172,Male,50-54,2001,Perak,498.0
173,Male,50-54,2001,Perlis,33.0
174,Male,50-54,2001,Sabah,0.0
175,Male,50-54,2001,Sarawak,260.0
176,Male,50-54,2001,Selangor,626.0
177,Male,50-54,2001,Terengganu,127.0
178,Male,50-54,2001,W.P. Kuala Lumpur,266.0
179,Male,50-54,2001,W.P. Labuan,10.0
180,Male,55-59,2001,Johor,537.0
181,Male,55-59,2001,Kedah,362.0
182,Male,55-59,2001,Kelantan,374.0
183,Male,55-59,2001,Melaka,149.0
184,Male,55-59,2001,Negeri Sembilan,177.0
185,Male,55-59,2001,Pulau Pinang,316.0
186,Male,55-59,2001,Pahang,282.0
187,Male,55-59,2001,Perak,565.0
188,Male,55-59,2001,Perlis,47.0
189,Male,55-59,2001,Sabah,0.0
190,Male,55-59,2001,Sarawak,391.0
191,Male,55-59,2001,Selangor,607.0
192,Male,55-59,2001,Terengganu,227.0
193,Male,55-59,2001,W.P. Kuala Lumpur,270.0
194,Male,55-59,2001,W.P. Labuan,6.0
195,Male,60-64,2001,Johor,689.0
196,Male,60-64,2001,Kedah,537.0
197,Male,60-64,2001,Kelantan,386.0
198,Male,60-64,2001,Melaka,225.0
199,Male,60-64,2001,Negeri Sembilan,253.0
200,Male,60-64,2001,Pulau Pinang,397.0
201,Male,60-64,2001,Pahang,373.0
202,Male,60-64,2001,Perak,744.0
203,Male,60-64,2001,Perlis,53.0
204,Male,60-64,2001,Sabah,0.0
205,Male,60-64,2001,Sarawak,410.0
206,Male,60-64,2001,Selangor,766.0
207,Male,60-64,2001,Terengganu,269.0
208,Male,60-64,2001,W.P. Kuala Lumpur,344.0
