State,Gender,Year,Values
Negeri Sembilan,Female,2015,76.6
Pahang,Female,2015,76.3
Perak,Female,2015,77.1
Perlis,Female,2015,75.9
Pulau Pinang,Female,2015,77.6
Sabah,Female,2015,75.8
Sarawak,Female,2015,78.3
Selangor,Female,2015,77.4
Terengganu,Female,2015,74.5
W.P. Kuala Lumpur,Female,2015,78.3
Malaysia,Total,2016,74.4
Johor,Total,2016,74.2
Kedah,Total,2016,72.9
Kelantan,Total,2016,72.0
Melaka,Total,2016,74.5
Negeri Sembilan,Total,2016,73.4
Pahang,Total,2016,73.3
Perak,Total,2016,74.0
Perlis,Total,2016,72.4
Pulau Pinang,Total,2016,74.8
Sabah,Total,2016,74.2
Sarawak,Total,2016,76.3
Selangor,Total,2016,75.1
Terengganu,Total,2016,71.6
W.P. Kuala Lumpur,Total,2016,76.6
W.P. Labuan,Total,2016,77.4
W.P. Putrajaya,Total,2016,72.3
Malaysia,Male,2016,72.1
Johor,Male,2016,71.9
Kedah,Male,2016,70.2
Kelantan,Male,2016,69.0
Melaka,Male,2016,71.9
Negeri Sembilan,Male,2016,70.6
Pahang,Male,2016,70.9
Perak,Male,2016,71.1
Perlis,Male,2016,70.0
Pulau Pinang,Male,2016,72.3
Sabah,Male,2016,72.6
Sarawak,Male,2016,74.5
Selangor,Male,2016,73.1
Terengganu,Male,2016,68.9
W.P. Kuala Lumpur,Male,2016,74.6
W.P. Labuan,Male,2016,76.2
W.P. Putrajaya,Male,2016,72.6
Malaysia,Female,2016,77.0
Johor,Female,2016,76.9
Kedah,Female,2016,75.9
Kelantan,Female,2016,75.1
Melaka,Female,2016,77.2
Negeri Sembilan,Female,2016,76.7
Pahang,Female,2016,76.2
Perak,Female,2016,77.3
Perlis,Female,2016,75.0
Pulau Pinang,Female,2016,77.7
Sabah,Female,2016,76.2
Sarawak,Female,2016,78.3
Selangor,Female,2016,77.4
Terengganu,Female,2016,74.6
W.P. Kuala Lumpur,Female,2016,79.0
W.P. Labuan,Female,2016,78.7
W.P. Putrajaya,Female,2016,72.0
Malaysia,Total,2017,74.4
Johor,Total,2017,74.1
Kedah,Total,2017,73.0
Kelantan,Total,2017,72.2
Melaka,Total,2017,74.5
Negeri Sembilan,Total,2017,73.4
Pahang,Total,2017,73.4
Perak,Total,2017,73.9
Perlis,Total,2017,72.0
Pulau Pinang,Total,2017,74.9
Sabah,Total,2017,74.2
Sarawak,Total,2017,76.2
Selangor,Total,2017,75.1
Terengganu,Total,2017,71.8
W.P. Kuala Lumpur,Total,2017,76.5
W.P. Labuan,Total,2017,77.3
W.P. Putrajaya,Total,2017,72.2
Malaysia,Male,2017,72.1
Johor,Male,2017,71.8
Kedah,Male,2017,70.3
Kelantan,Male,2017,69.3
Melaka,Male,2017,71.8
Negeri Sembilan,Male,2017,70.5
Pahang,Male,2017,71.0
Perak,Male,2017,71.0
Perlis,Male,2017,69.4
Pulau Pinang,Male,2017,72.3
Sabah,Male,2017,72.5
Sarawak,Male,2017,74.4
Selangor,Male,2017,73.1
Terengganu,Male,2017,69.1
W.P. Kuala Lumpur,Male,2017,74.4
W.P. Labuan,Male,2017,76.0
W.P. Putrajaya,Male,2017,71.7
Malaysia,Female,2017,77.1
Johor,Female,2017,76.9
Kedah,Female,2017,76.0
Kelantan,Female,2017,75.2
Melaka,Female,2017,77.5
Negeri Sembilan,Female,2017,76.8
